Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,1,2568,2550,2500,2700,NUS,2009,No,NUS GES 2009,Bachelor of Science (Nursing) | NUS 2009,Nursing
Bachelor of Music,Yong Siew Toh Conservatory of Music,0,0,0,0,0,NUS,2009,Suppressed,NUS GES 2009,Bachelor of Music | NUS 2009,Music
Accountancy,Nanyang Business School,0.97,2778,2600,2600,2775,NTU,2010,No,NTU GES 2010,Accountancy | NTU 2010,Accountancy
Business,Nanyang Business School,0.863,2933,2800,2500,3200,NTU,2010,No,NTU GES 2010,Business | NTU 2010,Business
Aerospace Engineering,College of Engineering,0.959,3344,3200,2750,3800,NTU,2010,No,NTU GES 2010,Aerospace Engineering | NTU 2010,Aerospace Engineering
Bioengineering,College of Engineering,0.8,3160,3000,2600,3800,NTU,2010,No,NTU GES 2010,Bioengineering | NTU 2010,Bioengineering
Chemical & Biomolecular Engineering,College of Engineering,0.91,3182,3200,2800,3525,NTU,2010,No,NTU GES 2010,Chemical & Biomolecular Engineering | NTU 2010,Chemical & Biomolecular Engineering
Civil Engineering,College of Engineering,0.952,2911,2900,2700,3100,NTU,2010,No,NTU GES 2010,Civil Engineering | NTU 2010,Civil Engineering
Computer Engineering,College of Engineering,0.908,3272,3100,2850,3600,NTU,2010,No,NTU GES 2010,Computer Engineering | NTU 2010,Computer Engineering
Computer Science,College of Engineering,0.918,3385,3200,2800,3700,NTU,2010,No,NTU GES 2010,Computer Science | NTU 2010,Computer Science
Electrical & Electronic Engineering,College of Engineering,0.847,3110,3000,2800,3400,NTU,2010,No,NTU GES 2010,Electrical & Electronic Engineering | NTU 2010,Electrical & Electronic Engineering
Environmental Engineering,College of Engineering,0.764,2982,3000,2600,3200,NTU,2010,No,NTU GES 2010,Environmental Engineering | NTU 2010,Environmental Engineering
Materials Engineering,College of Engineering,0.822,3079,3000,2700,3300,NTU,2010,No,NTU GES 2010,Materials Engineering | NTU 2010,Materials Engineering
Mechanical Engineering,College of Engineering,0.886,3064,3000,2700,3400,NTU,2010,No,NTU GES 2010,Mechanical Engineering | NTU 2010,Mechanical Engineering
Maritime Studies,College of Engineering,0.92,2857,2750,2500,3125,NTU,2010,No,NTU GES 2010,Maritime Studies | NTU 2010,Maritime Studies
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.604,2600,2600,2000,3150,NTU,2010,No,NTU GES 2010,"Art, Design & Media | NTU 2010","Art, Design & Media"
Chinese,"College of Humanities, Arts, & Social Sciences",0.81,3118,3100,2650,3400,NTU,2010,No,NTU GES 2010,Chinese | NTU 2010,Chinese
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.817,2836,2750,2400,3200,NTU,2010,No,NTU GES 2010,Communication Studies | NTU 2010,Communication Studies
Economics,"College of Humanities, Arts, & Social Sciences",0.846,2995,3000,2800,3200,NTU,2010,No,NTU GES 2010,Economics | NTU 2010,Economics
English Literature,"College of Humanities, Arts, & Social Sciences",0.725,2603,2700,2250,3050,NTU,2010,No,NTU GES 2010,English Literature | NTU 2010,English Literature
Psychology,"College of Humanities, Arts, & Social Sciences",0.817,2932,3100,2600,3300,NTU,2010,No,NTU GES 2010,Psychology | NTU 2010,Psychology
Sociology,"College of Humanities, Arts, & Social Sciences",0.767,2950,3100,2575,3200,NTU,2010,No,NTU GES 2010,Sociology | NTU 2010,Sociology
Biological Sciences,College of Science,0.763,2952,2800,2600,3200,NTU,2010,No,NTU GES 2010,Biological Sciences | NTU 2010,Biological Sciences
Biomedical Sciences,College of Science,1,2950,2800,2575,3175,NTU,2010,No,NTU GES 2010,Biomedical Sciences | NTU 2010,Biomedical Sciences
Chemistry & Biological Chemistry,College of Science,0.748,2981,3000,2600,3300,NTU,2010,No,NTU GES 2010,Chemistry & Biological Chemistry | NTU 2010,Chemistry & Biological Chemistry
Mathematical Sciences,College of Science,0.818,3022,2800,2600,3100,NTU,2010,No,NTU GES 2010,Mathematical Sciences | NTU 2010,Mathematical Sciences
Physics & Applied Physics,College of Science,0.737,2862,3000,2500,3250,NTU,2010,No,NTU GES 2010,Physics & Applied Physics | NTU 2010,Physics & Applied Physics
Mathematical Sciences & Economics,College of Science,0.857,3147,3200,2700,3450,NTU,2010,No,NTU GES 2010,Mathematical Sciences & Economics | NTU 2010,Mathematical Sciences & Economics
Arts (with Education),National Institute of Education (NIE),1,3281,3200,3100,3400,NTU,2010,No,NTU GES 2010,Arts (with Education) | NTU 2010,Arts (with Education)
Science (with Education),National Institute of Education (NIE),1,3199,3200,3100,3300,NTU,2010,No,NTU GES 2010,Science (with Education) | NTU 2010,Science (with Education)
Accountancy,Nanyang Business School,0.9,2529,2400,2400,2500,NTU,2009,No,NTU GES 2009,Accountancy | NTU 2009,Accountancy
Business,Nanyang Business School,0.883,2754,2700,2300,3050,NTU,2009,No,NTU GES 2009,Business | NTU 2009,Business
Aerospace Engineering,College of Engineering,0.803,3066,3000,2750,3250,NTU,2009,No,NTU GES 2009,Aerospace Engineering | NTU 2009,Aerospace Engineering
Bioengineering,College of Engineering,0.823,2854,2800,2500,3100,NTU,2009,No,NTU GES 2009,Bioengineering | NTU 2009,Bioengineering
Chemical & Biomolecular Engineering,College of Engineering,0.786,2990,3000,2650,3300,NTU,2009,No,NTU GES 2009,Chemical & Biomolecular Engineering | NTU 2009,Chemical & Biomolecular Engineering
Civil Engineering,College of Engineering,0.908,2769,2800,2500,3000,NTU,2009,No,NTU GES 2009,Civil Engineering | NTU 2009,Civil Engineering
Computer Engineering,College of Engineering,0.893,2969,2900,2700,3200,NTU,2009,No,NTU GES 2009,Computer Engineering | NTU 2009,Computer Engineering
Computer Science,College of Engineering,0.943,2930,2900,2600,3250,NTU,2009,No,NTU GES 2009,Computer Science | NTU 2009,Computer Science
Electrical & Electronic Engineering,College of Engineering,0.841,2909,2900,2600,3150,NTU,2009,No,NTU GES 2009,Electrical & Electronic Engineering | NTU 2009,Electrical & Electronic Engineering
Environmental Engineering,College of Engineering,0.763,2777,2600,2500,2900,NTU,2009,No,NTU GES 2009,Environmental Engineering | NTU 2009,Environmental Engineering
Materials Engineering,College of Engineering,0.753,2745,2800,2500,3000,NTU,2009,No,NTU GES 2009,Materials Engineering | NTU 2009,Materials Engineering
Mechanical Engineering,College of Engineering,0.791,2794,2800,2500,3100,NTU,2009,No,NTU GES 2009,Mechanical Engineering | NTU 2009,Mechanical Engineering
Maritime Studies,College of Engineering,0.895,2624,2500,2350,2900,NTU,2009,No,NTU GES 2009,Maritime Studies | NTU 2009,Maritime Studies
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.617,2431,2300,2100,2800,NTU,2009,No,NTU GES 2009,"Art, Design & Media | NTU 2009","Art, Design & Media"
Chinese,"College of Humanities, Arts, & Social Sciences",0.98,2756,2800,2600,2900,NTU,2009,No,NTU GES 2009,Chinese | NTU 2009,Chinese
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.782,2562,2600,2100,2900,NTU,2009,No,NTU GES 2009,Communication Studies | NTU 2009,Communication Studies
Economics,"College of Humanities, Arts, & Social Sciences",0.887,2718,2700,2450,2950,NTU,2009,No,NTU GES 2009,Economics | NTU 2009,Economics
English Literature,"College of Humanities, Arts, & Social Sciences",0.833,2580,2750,2300,2850,NTU,2009,No,NTU GES 2009,English Literature | NTU 2009,English Literature
Psychology,"College of Humanities, Arts, & Social Sciences",0.811,2629,2700,2250,3000,NTU,2009,No,NTU GES 2009,Psychology | NTU 2009,Psychology
Sociology,"College of Humanities, Arts, & Social Sciences",0.867,2842,2900,2700,3000,NTU,2009,No,NTU GES 2009,Sociology | NTU 2009,Sociology
Biological Sciences,College of Science,0.85,2918,2800,2500,3300,NTU,2009,No,NTU GES 2009,Biological Sciences | NTU 2009,Biological Sciences
Biomedical Sciences,College of Science,0,0,0,0,0,NTU,2009,Suppressed,NTU GES 2009,Biomedical Sciences | NTU 2009,Biomedical Sciences
Chemistry & Biological Chemistry,College of Science,0.824,2941,2900,2600,3300,NTU,2009,No,NTU GES 2009,Chemistry & Biological Chemistry | NTU 2009,Chemistry & Biological Chemistry
Mathematical Sciences,College of Science,0.885,2817,2800,2500,3000,NTU,2009,No,NTU GES 2009,Mathematical Sciences | NTU 2009,Mathematical Sciences
Physics & Applied Physics,College of Science,0.778,2900,2950,2600,3000,NTU,2009,No,NTU GES 2009,Physics & Applied Physics | NTU 2009,Physics & Applied Physics
Arts (with Education),National Institute of Education (NIE),1,3109,3000,2900,3200,NTU,2009,No,NTU GES 2009,Arts (with Education) | NTU 2009,Arts (with Education)
Science (with Education),National Institute of Education (NIE),1,3030,2900,2900,3200,NTU,2009,No,NTU GES 2009,Science (with Education) | NTU 2009,Science (with Education)
Accountancy (4-year programme),School of Accountancy,0.979,3162,2650,2600,3500,SMU,2010,No,SMU GES 2010,Accountancy (4-year programme) | SMU 2010,Accountancy (4-year programme)
Accountancy (4-year programme) (cum laude & above),School of Accountancy,0.958,3625,3000,2600,3800,SMU,2010,No,SMU GES 2010,Accountancy (4-year programme) (cum laude & above) | SMU 2010,Accountancy (4-year programme) (cum laude & above)
Business Management (4-year programme),School of Business,0.907,3292,3000,2550,3500,SMU,2010,No,SMU GES 2010,Business Management (4-year programme) | SMU 2010,Business Management (4-year programme)
Business Management (4-year programme) (cum laude & above),School of Business,0.941,3750,3400,2800,4000,SMU,2010,No,SMU GES 2010,Business Management (4-year programme) (cum laude & above) | SMU 2010,Business Management (4-year programme) (cum laude & above)
Economics (4-year programme),School of Economics,0.902,3429,3100,2650,3700,SMU,2010,No,SMU GES 2010,Economics (4-year programme) | SMU 2010,Economics (4-year programme)
Economics (4-year programme) (cum laude & above),School of Economics,0.95,3579,3300,2800,3700,SMU,2010,No,SMU GES 2010,Economics (4-year programme) (cum laude & above) | SMU 2010,Economics (4-year programme) (cum laude & above)
Information Systems Management (4-year programme),School of Information Systems,0.93,3474,3100,2650,4000,SMU,2010,No,SMU GES 2010,Information Systems Management (4-year programme) | SMU 2010,Information Systems Management (4-year programme)
Information Systems Management (4-year programme) (cum laude & above),School of Information Systems,0.95,4547,4350,3500,4950,SMU,2010,No,SMU GES 2010,Information Systems Management (4-year programme) (cum laude & above) | SMU 2010,Information Systems Management (4-year programme) (cum laude & above)
Social Sciences (4-year programme),School of Social Sciences,0.905,2824,2675,2400,3200,SMU,2010,No,SMU GES 2010,Social Sciences (4-year programme) | SMU 2010,Social Sciences (4-year programme)
Social Sciences (4-year programme) (cum laude & above),School of Social Sciences,0.933,3479,3250,3200,3875,SMU,2010,No,SMU GES 2010,Social Sciences (4-year programme) (cum laude & above) | SMU 2010,Social Sciences (4-year programme) (cum laude & above)
Accountancy (4-year programme),School of Accountancy,0.953,3073,2500,2400,2950,SMU,2009,No,SMU GES 2009,Accountancy (4-year programme) | SMU 2009,Accountancy (4-year programme)
Accountancy (4-year programme) (cum laude & above),School of Accountancy,0.968,3586,2600,2400,4000,SMU,2009,No,SMU GES 2009,Accountancy (4-year programme) (cum laude & above) | SMU 2009,Accountancy (4-year programme) (cum laude & above)
Business Management (4-year programme),School of Business,0.828,3048,2800,2400,3325,SMU,2009,No,SMU GES 2009,Business Management (4-year programme) | SMU 2009,Business Management (4-year programme)
Business Management (4-year programme) (cum laude & above),School of Business,0.867,3336,3000,2500,3500,SMU,2009,No,SMU GES 2009,Business Management (4-year programme) (cum laude & above) | SMU 2009,Business Management (4-year programme) (cum laude & above)
Economics (4-year programme),School of Economics,0.889,3288,3000,2500,3763,SMU,2009,No,SMU GES 2009,Economics (4-year programme) | SMU 2009,Economics (4-year programme)
Economics (4-year programme) (cum laude & above),School of Economics,0.926,3606,3200,2800,4000,SMU,2009,No,SMU GES 2009,Economics (4-year programme) (cum laude & above) | SMU 2009,Economics (4-year programme) (cum laude & above)
Information Systems Management (4-year programme),School of Information Systems,0.859,3445,2750,2400,3850,SMU,2009,No,SMU GES 2009,Information Systems Management (4-year programme) | SMU 2009,Information Systems Management (4-year programme)
Information Systems Management (4-year programme) (cum laude & above),School of Information Systems,0.722,3754,4000,2800,4600,SMU,2009,No,SMU GES 2009,Information Systems Management (4-year programme) (cum laude & above) | SMU 2009,Information Systems Management (4-year programme) (cum laude & above)
Social Sciences (4-year programme),School of Social Sciences,0.72,2613,2500,2275,2850,SMU,2009,No,SMU GES 2009,Social Sciences (4-year programme) | SMU 2009,Social Sciences (4-year programme)
Social Sciences (4-year programme) (cum laude & above),School of Social Sciences,0.733,2673,2850,2350,2950,SMU,2009,No,SMU GES 2009,Social Sciences (4-year programme) (cum laude & above) | SMU 2009,Social Sciences (4-year programme) (cum laude & above)
Bachelor of Arts,Faculty of Arts & Social Sciences,0.748,3157,2825,2500,3200,NUS,2012,No,NUS GES 2012,Bachelor of Arts | NUS 2012,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.804,3344,3200,3000,3580,NUS,2012,No,NUS GES 2012,Bachelor of Arts (Hons) | NUS 2012,Arts
Bachelor of Social Sciences (Hons),Faculty of Arts & Social Sciences,0.843,3290,3200,3000,3600,NUS,2012,No,NUS GES 2012,Bachelor of Social Sciences (Hons) | NUS 2012,Social Sciences (Hons)
Bachelor of Dental Surgery,Faculty of Dentistry,1,4250,4005,4000,4400,NUS,2012,No,NUS GES 2012,Bachelor of Dental Surgery | NUS 2012,Dental Surgery
Bachelor of Engineering (Bioengineering),Faculty of Engineering,0.795,2971,3000,2770,3320,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Bioengineering) | NUS 2012,Bioengineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.903,3335,3250,3000,3510,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Chemical Engineering) | NUS 2012,Chemical Engineering
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.969,3101,3000,2900,3200,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Civil Engineering) | NUS 2012,Civil Engineering
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.9,3403,3100,2900,3450,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Computer Engineering) | NUS 2012,Computer Engineering
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.873,3301,3100,2924,3500,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Electrical Engineering) | NUS 2012,Electrical Engineering
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.769,3232,3200,2885,3613,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Engineering Science) | NUS 2012,Engineering Science
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.837,3206,3125,3000,3409,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Environmental Engineering) | NUS 2012,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.9,3442,3375,3000,3815,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2012,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.929,3139,3000,2600,3500,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Materials Science & Engineering) | NUS 2012,Materials Science & Engineering
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.914,3357,3250,2980,3500,NUS,2012,No,NUS GES 2012,Bachelor of Engineering (Mechanical Engineering) | NUS 2012,Mechanical Engineering
Bachelor of Laws,Faculty of Law,0.981,4963,5000,4600,5200,NUS,2012,No,NUS GES 2012,Bachelor of Laws | NUS 2012,Laws
Bachelor of Applied Science,Faculty of Science,0,0,0,0,0,NUS,2012,Suppressed,NUS GES 2012,Bachelor of Applied Science | NUS 2012,Applied Science
Bachelor of Applied Science (Hons),Faculty of Science,0.931,3079,3100,2975,3300,NUS,2012,No,NUS GES 2012,Bachelor of Applied Science (Hons) | NUS 2012,Applied Science (Hons)
Bachelor of Science,Faculty of Science,0.719,2920,2800,2575,3104,NUS,2012,No,NUS GES 2012,Bachelor of Science | NUS 2012,Science
Bachelor of Science (Computational Biology),Faculty of Science,0,0,0,0,0,NUS,2012,Suppressed,NUS GES 2012,Bachelor of Science (Computational Biology) | NUS 2012,Computational Biology
Bachelor of Science (Hons),Faculty of Science,0.761,3190,3135,2900,3410,NUS,2012,No,NUS GES 2012,Bachelor of Science (Hons) | NUS 2012,Science
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.985,3560,3525,3338,3800,NUS,2012,No,NUS GES 2012,Bachelor of Science (Pharmacy) (Hons) | NUS 2012,Pharmacy (Hons)
Bachelor of Business Administration,NUS Business School,0.842,3238,2830,2515,3225,NUS,2012,No,NUS GES 2012,Bachelor of Business Administration | NUS 2012,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.883,3976,3200,3000,4000,NUS,2012,No,NUS GES 2012,Bachelor of Business Administration (Hons) | NUS 2012,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,0.966,2882,2750,2600,2800,NUS,2012,No,NUS GES 2012,Bachelor of Business Administration (Accountancy) | NUS 2012,Administration (Accountancy)
